"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.501708980E-1,3.707885742E-3,-2.243041992E-3,-6.866455078E-4,4.387611663E-3
5.551757810E-1,2.655029297E-3,-1.190185547E-3,-6.866455078E-4,2.989515723E-3
5.601806640E-1,2.655029297E-3,-1.220703125E-4,3.814697266E-4,2.685069996E-3
5.651550290E-1,2.655029297E-3,-1.190185547E-3,3.814697266E-4,2.934491669E-3
5.701599120E-1,1.586914062E-3,-1.220703125E-4,3.814697266E-4,1.636678513E-3
5.751647950E-1,1.586914062E-3,-1.190185547E-3,3.814697266E-4,2.019989364E-3
5.801696780E-1,5.187988281E-4,-1.220703125E-4,-6.866455078E-4,8.692154156E-4
5.851745600E-1,5.187988281E-4,-1.220703125E-4,3.814697266E-4,6.554178343E-4
5.901794430E-1,1.586914062E-3,-1.190185547E-3,1.449584961E-3,2.456854582E-3
5.951843260E-1,5.187988281E-4,-1.220703125E-4,3.814697266E-4,6.554178343E-4
6.001892090E-1,-2.685546875E-3,9.460449219E-4,-6.866455078E-4,2.928932411E-3
6.051635740E-1,5.187988281E-4,9.460449219E-4,-6.866455078E-4,1.278919572E-3
6.101684570E-1,2.655029297E-3,9.460449219E-4,3.814697266E-4,2.844239918E-3
6.151733400E-1,5.187988281E-4,-1.220703125E-4,1.449584961E-3,1.544457816E-3
6.201782220E-1,-1.617431641E-3,9.460449219E-4,-6.866455078E-4,1.995637282E-3
6.251831050E-1,5.187988281E-4,2.014160156E-3,3.814697266E-4,2.114595118E-3
6.301879880E-1,5.187988281E-4,-2.243041992E-3,-6.866455078E-4,2.402471989E-3
6.351928710E-1,5.187988281E-4,-1.190185547E-3,-6.866455078E-4,1.468732758E-3
6.401977540E-1,1.586914062E-3,9.460449219E-4,3.814697266E-4,1.886482544E-3
6.452026370E-1,1.586914062E-3,-1.220703125E-4,-6.866455078E-4,1.733401124E-3
6.502075190E-1,-5.493164062E-4,9.460449219E-4,-6.866455078E-4,1.291600388E-3
6.552124020E-1,-5.493164062E-4,9.460449219E-4,-1.754760742E-3,2.067833352E-3
6.602172850E-1,5.187988281E-4,2.014160156E-3,3.814697266E-4,2.114595118E-3
6.652221680E-1,1.586914062E-3,-1.220703125E-4,3.814697266E-4,1.636678513E-3
6.702270510E-1,5.187988281E-4,-1.220703125E-4,3.814697266E-4,6.554178343E-4
6.752319330E-1,-5.493164062E-4,-1.220703125E-4,-6.866455078E-4,8.877678349E-4
6.802368160E-1,1.586914062E-3,2.014160156E-3,3.814697266E-4,2.592422907E-3
6.852111810E-1,5.187988281E-4,-1.220703125E-4,3.814697266E-4,6.554178343E-4
6.902160640E-1,-1.617431641E-3,9.460449219E-4,1.449584961E-3,2.369046784E-3
6.952209470E-1,-5.493164062E-4,9.460449219E-4,3.814697266E-4,1.158563188E-3
7.002258300E-1,-5.493164062E-4,-1.220703125E-4,3.814697266E-4,6.798299991E-4
7.052001950E-1,-5.493164062E-4,-1.220703125E-4,-6.866455078E-4,8.877678349E-4
7.102050780E-1,5.187988281E-4,-1.220703125E-4,-6.866455078E-4,8.692154156E-4
7.152099610E-1,5.187988281E-4,9.460449219E-4,-6.866455078E-4,1.278919572E-3
7.202148440E-1,-5.493164062E-4,-1.220703125E-4,-6.866455078E-4,8.877678349E-4
7.252197260E-1,-5.493164062E-4,-2.243041992E-3,3.814697266E-4,2.340620654E-3
7.302246090E-1,5.187988281E-4,-1.190185547E-3,-1.754760742E-3,2.182860308E-3
7.352294920E-1,5.187988281E-4,-1.220703125E-4,-6.866455078E-4,8.692154156E-4
7.402343750E-1,2.655029297E-3,-1.220703125E-4,3.814697266E-4,2.685069996E-3
7.452392580E-1,5.187988281E-4,9.460449219E-4,3.814697266E-4,1.144409180E-3
7.502441400E-1,5.187988281E-4,3.082275391E-3,-6.866455078E-4,3.200164974E-3
7.552490230E-1,1.586914062E-3,-1.220703125E-4,-1.754760742E-3,2.369046784E-3
7.602539060E-1,-5.493164062E-4,-1.220703125E-4,1.449584961E-3,1.554974673E-3
